Soliders each: 1 || Attacker Win %: 42.1 || Defender Win %: 57.9 || Games Played: 1000
Soliders each: 2 || Attacker Win %: 37.1 || Defender Win %: 62.9 || Games Played: 1000
Soliders each: 3 || Attacker Win %: 50.2 || Defender Win %: 49.8 || Games Played: 1000
Soliders each: 4 || Attacker Win %: 48.0 || Defender Win %: 52.0 || Games Played: 1000
Soliders each: 5 || Attacker Win %: 49.5 || Defender Win %: 50.5 || Games Played: 1000
Soliders each: 6 || Attacker Win %: 51.2 || Defender Win %: 48.8 || Games Played: 1000
Soliders each: 7 || Attacker Win %: 55.1 || Defender Win %: 44.9 || Games Played: 1000
Soliders each: 8 || Attacker Win %: 52.3 || Defender Win %: 47.7 || Games Played: 1000
Soliders each: 9 || Attacker Win %: 59.3 || Defender Win %: 40.7 || Games Played: 1000
Soliders each: 10 || Attacker Win %: 57.8 || Defender Win %: 42.2 || Games Played: 1000
Soliders each: 11 || Attacker Win %: 57.5 || Defender Win %: 42.5 || Games Played: 1000
Soliders each: 12 || Attacker Win %: 57.9 || Defender Win %: 42.1 || Games Played: 1000
Soliders each: 13 || Attacker Win %: 57.2 || Defender Win %: 42.8 || Games Played: 1000
Soliders each: 14 || Attacker Win %: 58.1 || Defender Win %: 41.9 || Games Played: 1000
Soliders each: 15 || Attacker Win %: 63.7 || Defender Win %: 36.3 || Games Played: 1000
Soliders each: 16 || Attacker Win %: 59.1 || Defender Win %: 40.9 || Games Played: 1000
Soliders each: 17 || Attacker Win %: 60.1 || Defender Win %: 39.9 || Games Played: 1000
Soliders each: 18 || Attacker Win %: 61.2 || Defender Win %: 38.8 || Games Played: 1000
Soliders each: 19 || Attacker Win %: 62.1 || Defender Win %: 37.9 || Games Played: 1000
Soliders each: 20 || Attacker Win %: 65.4 || Defender Win %: 34.6 || Games Played: 1000
Soliders each: 21 || Attacker Win %: 64.4 || Defender Win %: 35.6 || Games Played: 1000
Soliders each: 22 || Attacker Win %: 64.1 || Defender Win %: 35.9 || Games Played: 1000
Soliders each: 23 || Attacker Win %: 64.6 || Defender Win %: 35.4 || Games Played: 1000
Soliders each: 24 || Attacker Win %: 65.3 || Defender Win %: 34.7 || Games Played: 1000
Soliders each: 25 || Attacker Win %: 66.5 || Defender Win %: 33.5 || Games Played: 1000
